No.,Feedstock digestate,"C,in (wt%)","H,in (wt%)","N,in (wt%)","S,in (wt%)","O,in (wt%)","VM,in (%)","FC,in (%)","Ash,in (%)",THTC(degC),tres(h),Solid load (%),"HHV,in (MJ/kg)",Yield (% dry basis),"C,out (wt%)","H,out (wt%)","N,out (wt%)","S,out (wt%)","O,out (wt%)","VM,out (%)","FC,out (%)","Ash,out (%)","HHV,out (MJ/kg)",Type,Ref.
35,AGR,52.5,6.071428571,3.80952381,0.357142857,37.26190476,70.2,13.8,16,250,1,10,17.8,47.2,72.62,7.98,4.56,0.25,14.58,56.7,22.3,21,24,Biomass,Parmar2019
36,AGR,52.5,6.071428571,3.80952381,0.357142857,37.26190476,70.2,13.8,16,250,1,20,17.8,51.1,71.55,8.27,4.89,0.25,15.04,58.2,21.6,20.2,24.2,Biomass,Parmar2019
37,AGR,52.5,6.071428571,3.80952381,0.357142857,37.26190476,70.2,13.8,16,250,1,30,17.8,49.4,71.5,7.31,4.79,0.38,16.02,56.2,23.1,20.7,23.3,Biomass,Parmar2019
38,MSW,54.15730337,3.820224719,3.370786517,0.449438202,38.20224719,36.2,8.3,55.5,150,1,20,15.6,90.6,51.63,4.56,2.6,0,41.21,39.4,6.6,54,15.2,Organics,Parmar2019
39,MSW,54.15730337,3.820224719,3.370786517,0.449438202,38.20224719,36.2,8.3,55.5,200,1,10,15.6,85,61.58,4.36,1.91,0.27,31.88,31.91,4.69,63.4,15.5,Organics,Parmar2019
40,MSW,54.15730337,3.820224719,3.370786517,0.449438202,38.20224719,36.2,8.3,55.5,200,1,20,15.6,87.1,56.46,4.22,2.37,0.26,36.68,32.3,5.6,62.1,15.6,Organics,Parmar2019
41,MSW,54.15730337,3.820224719,3.370786517,0.449438202,38.20224719,36.2,8.3,55.5,200,1,30,15.6,85.7,61.54,4.62,2.31,0.26,31.28,32.4,6.5,61.1,15.4,Organics,Parmar2019
42,MSW,54.15730337,3.820224719,3.370786517,0.449438202,38.20224719,36.2,8.3,55.5,250,1,10,15.6,82,65.34,4.55,1.99,0.57,27.56,28.22,6.88,64.9,15.6,Organics,Parmar2019
43,MSW,54.15730337,3.820224719,3.370786517,0.449438202,38.20224719,36.2,8.3,55.5,250,1,20,15.6,84.1,67.81,5,2.5,0,24.69,25.7,6.3,68,15.6,Organics,Parmar2019
44,MSW,54.15730337,3.820224719,3.370786517,0.449438202,38.20224719,36.2,8.3,55.5,250,1,30,15.6,83.5,69.23,5.03,2.66,0,23.08,26.9,6.8,66.3,15.5,Organics,Parmar2019
45,SS,53.8606403,5.838041431,6.403013183,2.824858757,31.07344633,51,2.1,46.9,150,1,20,14.9,87.1,59.33,7.82,5.68,0.53,26.64,50.5,5.7,43.8,15,Sewage sludge,Parmar2019
46,SS,53.8606403,5.838041431,6.403013183,2.824858757,31.07344633,51,2.1,46.9,200,1,10,14.9,72.6,62.85,7.76,3.88,1.48,24.03,47.9,6.1,46,15,Sewage sludge,Parmar2019
47,SS,53.8606403,5.838041431,6.403013183,2.824858757,31.07344633,51,2.1,46.9,200,1,20,14.9,76.1,61.26,7.57,4.32,1.62,25.23,49.1,6.5,44.4,15.1,Sewage sludge,Parmar2019
48,SS,53.8606403,5.838041431,6.403013183,2.824858757,31.07344633,51,2.1,46.9,200,1,30,14.9,78,62.41,7.8,5.14,2.13,22.52,49.4,6.9,43.7,15.4,Sewage sludge,Parmar2019
49,SS,53.8606403,5.838041431,6.403013183,2.824858757,31.07344633,51,2.1,46.9,250,1,10,14.9,65.6,67.98,7.91,4.35,1.58,18.18,44.3,6.2,49.5,15.2,Sewage sludge,Parmar2019
50,SS,53.8606403,5.838041431,6.403013183,2.824858757,31.07344633,51,2.1,46.9,250,1,20,14.9,67.9,66.1,7.81,4.57,1.33,20.19,45.9,6.6,47.5,15.3,Sewage sludge,Parmar2019
51,SS,53.8606403,5.838041431,6.403013183,2.824858757,31.07344633,51,2.1,46.9,250,1,30,14.9,69.5,68.16,8.05,5.24,1.69,16.85,46.6,6.8,46.6,15.7,Sewage sludge,Parmar2019
52,VGF,52.4911032,5.338078292,3.558718861,0.533807829,38.07829181,47.2,9,43.8,150,1,20,14.9,89,63.46,6.41,4.06,0,26.07,37.6,9.3,53.1,15,Biomass,Parmar2019
53,VGF,52.4911032,5.338078292,3.558718861,0.533807829,38.07829181,47.2,9,43.8,200,1,10,14.9,79.5,58.84,6.04,2.46,0.45,32.21,37.5,7.2,55.3,14.8,Biomass,Parmar2019
54,VGF,52.4911032,5.338078292,3.558718861,0.533807829,38.07829181,47.2,9,43.8,200,1,20,14.9,80.9,63.64,6.52,2.96,0.59,26.28,41.62,8.98,49.4,15.1,Biomass,Parmar2019
55,VGF,52.4911032,5.338078292,3.558718861,0.533807829,38.07829181,47.2,9,43.8,200,1,30,14.9,79.8,63.87,6.51,2.94,0.42,26.26,39.3,8.4,52.3,14.9,Biomass,Parmar2019
56,VGF,52.4911032,5.338078292,3.558718861,0.533807829,38.07829181,47.2,9,43.8,250,1,10,14.9,71.1,68.39,6.74,3.11,0.26,21.5,30.48,8.22,61.3,14.8,Biomass,Parmar2019
57,VGF,52.4911032,5.338078292,3.558718861,0.533807829,38.07829181,47.2,9,43.8,250,1,20,14.9,71.4,67.8,6.59,3.41,0.24,21.95,31.78,9.22,59,14.9,Biomass,Parmar2019
58,VGF,52.4911032,5.338078292,3.558718861,0.533807829,38.07829181,47.2,9,43.8,250,1,30,14.9,73.7,74.62,7.44,3.85,0.26,13.85,30.4,8.6,61,15,Biomass,Parmar2019
59,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,200,0.3,31.9,17.97,66.6,62.21,8.16,7.66,6.23,15.73,55.55,11.69,32.8,19,Sewage sludge,He2015
60,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,220,0.3,31.9,17.97,57.1,64.55,7.93,6.98,6.29,14.24,51.82,12.36,35.8,18.5,Sewage sludge,He2015
61,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,240,0.3,31.9,17.97,59,68.01,8.3,6.71,6.72,10.26,49.6,11.52,38.9,18.7,Sewage sludge,He2015
62,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,260,0.3,31.9,17.97,55.9,70.6,8.09,6.3,6.49,8.52,47.06,15.16,37.8,19.4,Sewage sludge,He2015
63,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,280,0.3,31.9,17.97,54.6,72.72,8.37,6.23,6.33,6.35,37.68,23.6,38.7,20.2,Sewage sludge,He2015
64,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,300,0.3,31.9,17.97,53.4,72.67,8.22,6.09,6.44,6.58,18.24,42.96,38.8,20.3,Sewage sludge,He2015
65,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,320,0.3,31.9,17.97,51.5,73.03,8.11,5.94,6.23,6.68,12.86,47.03,40.1,20.4,Sewage sludge,He2015
66,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,340,0.3,31.9,17.97,50.4,75.44,8.21,5.98,6.26,4.11,42.03,16.8,41.2,20.2,Sewage sludge,He2015
67,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,360,0.3,31.9,17.97,44.6,76.86,8.07,5.9,6.36,2.81,18.88,36.89,44.2,19.2,Sewage sludge,He2015
68,DSS,50.99744246,7.928388747,7.723785166,7.186700767,26.16368286,69,9.2,21.8,380,0.3,31.9,17.97,43.1,75.69,7.85,5.67,6.27,4.52,38.25,18.55,43.2,19.6,Sewage sludge,He2015
69,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,180,0.5,10,10.97,66.18,67.78,11.21,5.24,2.14,13.63,22.32,9.21,68.47,10.8,Sewage sludge,Peng2016
70,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,220,0.5,10,10.97,60.58,70.12,11.51,4.72,1.97,11.69,18.81,9.17,72.02,10.07,Sewage sludge,Peng2016
71,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,260,0.5,10,10.97,56.23,64.65,10.44,4.16,1.36,19.39,27.26,10.28,62.46,11.79,Sewage sludge,Peng2016
72,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,300,0.5,10,10.97,53,75.55,11.57,3.86,1.69,7.33,16.79,12.24,70.97,11.23,Sewage sludge,Peng2016
73,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,260,1,10,10.97,58.51,70.29,10.56,4.56,1.64,12.94,23.14,11.69,65.17,12.06,Sewage sludge,Peng2016
74,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,260,1.5,10,10.97,59.37,63.48,9.81,4,1.55,21.15,24.78,13.24,61.98,11.38,Sewage sludge,Peng2016
75,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,260,6,10,10.97,63.32,65.74,10.7,4.1,1.78,17.67,22.61,7.65,69.74,9.8,Sewage sludge,Peng2016
76,SS,49.91026919,8.394815553,9.690927218,1.47557328,30.52841476,47.49,2.66,49.85,260,8,10,10.97,66.19,59.6,9.12,3.58,1.66,26.04,34.33,6.14,59.53,10.86,Sewage sludge,Peng2016
77,PS,52.55474453,5.943691345,0.417101147,0,41.08446298,87.7,8.2,4.1,250,1,10,18.64,93.46,52.85,5.91,0,0,41.24,85.8,12.4,1.8,19.4,Biomass,Sattasathuchana2023
78,PS,52.55474453,5.943691345,0.417101147,0,41.08446298,87.7,8.2,4.1,250,2,10,18.64,63.22,57.61,5.58,0.1,0,36.71,83.2,15.4,1.4,21.91,Biomass,Sattasathuchana2023
79,PS,52.55474453,5.943691345,0.417101147,0,41.08446298,87.7,8.2,4.1,250,4,10,18.64,49.59,67.62,5.01,0.31,0,27.07,78.5,19.5,2,26.09,Biomass,Sattasathuchana2023
80,PS,52.55474453,5.943691345,0.417101147,0,41.08446298,87.7,8.2,4.1,250,6,10,18.64,52.18,68.75,4.71,0.51,0,26.02,76.88,20.72,2.4,27.2,Biomass,Sattasathuchana2023
81,BB,47.55102041,6.12244898,0.306122449,0,46.02040816,90.3,7.7,2,250,1,10,17.88,93.05,49.24,6.05,0,0,44.7,86.4,12.6,1,18.79,Biomass,Sattasathuchana2023
82,BB,47.55102041,6.12244898,0.306122449,0,46.02040816,90.3,7.7,2,250,2,10,17.88,67.44,68.28,5.14,0.3,0,26.28,83.1,16.2,0.7,20.01,Biomass,Sattasathuchana2023
83,BB,47.55102041,6.12244898,0.306122449,0,46.02040816,90.3,7.7,2,250,4,10,17.88,47.28,69.35,4.94,0.3,0,25.4,84.4,14.9,0.7,25.79,Biomass,Sattasathuchana2023
84,BB,47.55102041,6.12244898,0.306122449,0,46.02040816,90.3,7.7,2,250,6,10,17.88,45.91,71.59,4.92,0.4,0,23.09,78.92,20.68,0.4,27.03,Biomass,Sattasathuchana2023
85,CS,47.7,6.7,0.6,0,45,77.6,19.4,3,220,1,10,18.1,57.29,54.13,6.02,0.56,0,39.29,74.64,24.28,1.08,21.63,Biomass,Wang2022
86,CSFW,47.9,7.1,1.2,0,43.7,78.5,18.8,2.7,220,1,10,18.7,54.64,57.21,7.13,1.29,0,34.37,71.02,27.52,1.46,23.27,Biomass,Wang2022
87,CSFW,48.2,7.5,1.8,0,42.5,79.4,18.2,2.5,220,1,10,19.2,52.21,60.66,7.31,2.12,0,29.91,68.53,30.13,1.34,25.29,Biomass,Wang2022
88,CSFW,48.4,7.9,2.5,0,41.2,80.3,17.5,2.2,220,1,10,19.8,46.07,65.99,7.91,2.86,0,23.24,65.76,32.91,1.33,27.83,Biomass,Wang2022
89,FW,48.7,8.2,3.1,0,40,81.2,16.9,1.9,220,1,10,20.3,41.43,69.69,7.96,4.13,0,18.22,63.33,35.81,0.86,29.91,Organics,Wang2022
90,SS,46.1352657,7.29468599,7.463768116,2.512077295,36.5942029,34.82,6.58,58.6,220,1,10,7.5,59.7,50.68,5.85,5.29,1.35,36.83,26,5.7,68.3,5.2,Sewage sludge,Shan2023
91,SSRH,46.60568127,6.798266731,4.660568127,1.699566683,40.23591719,42.74,9.185,48.075,220,1,10,9.5,66.2,56.5,6.68,4.23,1.7,30.89,26.26,9.64,64.1,7.5,Sewage sludge,Shan2023
92,SSRH,46.91753403,6.46917534,2.802241793,1.160928743,42.6501201,50.66,11.79,37.55,220,1,10,11.5,69.3,57.16,6.13,2.5,0.99,33.22,36.21,12.29,51.5,10.5,Sewage sludge,Shan2023
93,SSRH,47.13943131,6.23501199,1.47995889,0.777663583,44.36793422,58.58,14.395,27.025,220,1,10,13.5,71.3,57.12,6.17,1.53,0.47,34.72,44.89,16.71,38.4,13.8,Sewage sludge,Shan2023
94,SSWS,46.46559849,6.795475966,4.773798303,1.668237512,40.29688973,44.215,8.835,46.95,220,1,10,9.725,66.7,59.86,6.94,4.82,1.68,26.7,24.69,8.81,66.5,7.4,Sewage sludge,Shan2023
95,SSWS,46.67697063,6.476043277,3.052550232,1.128284389,42.66615147,53.61,11.09,35.3,220,1,10,11.95,70.2,59.27,6.94,3.06,0.99,29.74,36.01,11.59,52.4,11.1,Sewage sludge,Shan2023
96,SSWS,46.82383759,6.254092993,1.856581532,0.753110675,44.31237721,63.005,13.345,23.65,220,1,10,14.175,72.6,59.88,6.13,2.24,0.52,31.23,43.25,18.95,37.8,14.7,Sewage sludge,Shan2023
97,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,160,1,7.52688172,9.82,94.15,52.89,7.06,6.38,2.05,31.63,37.3,7.24,55.46,9.56,Sewage sludge,Gao2019
98,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,180,1,7.52688172,9.82,84.01,61.32,6.27,5.2,2.49,24.72,33.58,8.39,58.03,10.4,Sewage sludge,Gao2019
99,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,200,0.5,7.52688172,9.82,71.24,61.32,6.07,4.47,2.49,25.65,35.15,7.13,57.72,10.28,Sewage sludge,Gao2019
100,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,200,1,7.52688172,9.82,67.89,64.12,6.09,4.14,2.21,23.44,33.01,8.12,58.87,10.55,Sewage sludge,Gao2019
101,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,200,1.5,7.52688172,9.82,66.31,66.04,6.23,4.85,1.77,21.11,31.62,8.91,59.47,10.87,Sewage sludge,Gao2019
102,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,200,2,7.52688172,9.82,66.04,66.44,6.16,4.87,2.34,20.2,30.83,10.08,59.09,11.13,Sewage sludge,Gao2019
103,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,220,1,7.52688172,9.82,65.89,69.93,6.55,5.08,1.95,16.49,27.53,10.66,61.81,11.25,Sewage sludge,Gao2019
104,SS,45.39543058,7.275922671,7.434094903,1.704745167,38.18980668,46.67,10.23,43.1,240,1,7.52688172,9.82,61.83,72.16,6.47,4.95,2.23,14.19,25.52,12.24,62.24,11.57,Sewage sludge,Gao2019
105,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,180,0.25,9.39,18.815448,98.64,52.18,6.57,9.08,1.36,30.81,75.57,2.09,22.34398782,18.300816,Sewage sludge,Zhao2014
106,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,180,0.5,9.39,18.815448,98.11,53.2,6.52,8.98,1.39,29.91,73.65,2.81,23.53239894,19.020464,Sewage sludge,Zhao2014
107,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,180,0.75,9.39,18.815448,98.08,55.31,6.69,9.08,1.37,27.55,70.77,3.25,25.97824982,19.43468,Sewage sludge,Zhao2014
108,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,200,0.25,9.39,18.815448,96.94,55.07,6.72,9.29,1.3,27.62,71.96,3.09,24.94691071,18.903312,Sewage sludge,Zhao2014
109,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,200,0.5,9.39,18.815448,97.78,57.44,6.65,9.04,1.26,25.61,71.13,3.22,25.64439503,19.7694,Sewage sludge,Zhao2014
110,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,200,0.75,9.39,18.815448,98.71,59.24,6.68,7.98,1.26,24.84,68.24,3.64,28.12847187,19.861448,Sewage sludge,Zhao2014
111,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,220,0.25,9.39,18.815448,97.58,59.31,6.68,9.03,1.18,23.8,69.5,3.04,27.45236415,19.735928,Sewage sludge,Zhao2014
112,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,220,0.5,9.39,18.815448,96.53,59.99,6.45,8.24,1.19,24.13,68.9,3.88,27.21972177,20.024624,Sewage sludge,Zhao2014
113,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,220,0.75,9.39,18.815448,97.35,62.31,6.29,8.73,1.2,21.47,66.73,3.98,29.29151218,19.865632,Sewage sludge,Zhao2014
114,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,240,0.25,9.39,18.815448,97.88,61.29,6.26,8.95,1.33,22.17,64.9,5.14,29.95581442,19.857264,Sewage sludge,Zhao2014
115,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,240,0.5,9.39,18.815448,98.02,62.63,5.96,8.19,1.29,21.93,62.73,6.7,30.57203177,20.150144,Sewage sludge,Zhao2014
116,SS,51.2,6.64,8.85,1.37,31.94,79.27482073,2.03009797,18.6950813,240,0.75,9.39,18.815448,96.76,67.97,5.71,8.51,1.56,16.25,57.7,7.46,34.84726688,20.171064,Sewage sludge,Zhao2014
117,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,190,1.5,10,17.2,67,48.48,5.71,0.2,0.04,45.57,77.1,19.2,3.698890333,18.1,Biomass,Zhang2015
118,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,210,1.5,10,17.2,58,54.31,5.71,0.3,0.07,39.62,74.35,19.6,6.054590571,20.3,Biomass,Zhang2015
119,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,230,1.5,10,17.2,49,66.85,5.12,0.4,0.05,27.58,51.4,42.7,5.897965202,25.2,Biomass,Zhang2015
120,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,250,1.5,10,17.2,44,68.78,4.87,0.4,0.03,25.92,49.36,44.3,6.342285205,25.5,Biomass,Zhang2015
121,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,270,1.5,10,17.2,40,69.7,4.67,0.42,0.02,25.18,46.3,47.8,5.898820236,25.5,Biomass,Zhang2015
122,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,290,1.5,10,17.2,39.5,71.64,4.73,0.43,0.01,23.2,42.69,50.5,6.806125513,26.1,Biomass,Zhang2015
123,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,310,1.5,10,17.2,38.5,72.26,4.8,0.49,0.14,22.31,42.1,51.6,6.300630063,26.6,Biomass,Zhang2015
124,CC,45.92434736,6.180074587,0.245071923,0.127863612,47.52264251,78.51647119,17.2,4.283528812,330,1.5,10,17.2,37,70.62,4.41,0.5,0.13,24.34,40,55.3,4.7,25.9,Biomass,Zhang2015
